"Topic","Question ID","Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation"
"anatomy","108","A fracture of the pterion is considered a medical emergency because it frequently lacerates which of the following underlying blood vessels?","Maxillary artery","Superficial temporal artery","Middle meningeal artery","Facial artery","C","The pterion is the weakest point of the skull where the frontal, parietal, sphenoid, and temporal bones meet. Underlying this thin bone is the anterior branch of the middle meningeal artery, which can easily be lacerated during blunt trauma, leading to an epidural hematoma. The superficial temporal artery is extracranial, the maxillary artery is deep in the infratemporal fossa, and the facial artery supplies the face, none of which course beneath the pterion."
"anatomy","110","During a surgical extraction of an impacted mandibular third molar, lingual flap reflection is required. Which structure running immediately inferior to the attachment of the superior pharyngeal constrictor and mylohyoid is most susceptible to injury?","Lingual nerve","Hypoglossal nerve","Inferior alveolar nerve","Glossopharyngeal nerve","A","The lingual nerve runs submucosally along the lingual plate of the mandible in the region of the third molar, placing it at high risk during lingual tissue retraction or incision. The hypoglossal nerve runs deeper in the submandibular triangle alongside the hyoglossus muscle, the glossopharyngeal nerve is further posterior in the pharynx, and the inferior alveolar nerve is contained within the mandibular canal."
"anatomy","115","A patient presents with loss of taste on the anterior two-thirds of the tongue and drooping of the corner of the mouth. Which cranial nerve is most likely damaged at its exit from the skull?","CN V3","CN VII","CN IX","CN XII","B","Cranial nerve VII (facial nerve) carries parasympathetic fibers, motor fibers to muscles of facial expression, and special sensory fibers for taste on the anterior two-thirds of the tongue (via the chorda tympani). Damage to CN V3 would affect general sensation of the tongue and muscles of mastication, CN IX affects the posterior third for taste, and CN XII controls tongue motor function."
"anatomy","120","During a routine extraction of a maxillary third molar, the root is accidentally displaced into an anatomical space located posterior to the maxilla and medial to the infratemporal fossa. What is this space?","Submandibular space","Pterygomandibular space","Cavernous sinus","Pterygopalatine fossa","D","The pterygopalatine fossa is located posterior to the maxilla and is a potential site for the displacement of maxillary third molar roots during extraction due to its close anatomical proximity. The submandibular space is inferior to the jaw, the pterygomandibular space is associated with the mandibular ramus, and the cavernous sinus is an intracranial venous sinus far removed from the surgical site."
"anatomy","122","During a surgical extraction of a mandibular third molar, which anatomical structure is most at risk of injury due to its close proximity to the lingual plate?","Mylohyoid nerve","Long buccal nerve","Lingual nerve","Inferior alveolar nerve","C","The lingual nerve runs superficially beneath the oral mucosa just lingual to the mandibular third molar, making it highly vulnerable during flap reflection or elevation in this region. The inferior alveolar nerve runs within the mandibular canal, the mylohyoid nerve courses inferiorly on the outer surface of the mylohyoid muscle, and the long buccal nerve is located more superiorly and laterally."
"anatomy","125","An inability to wrinkle the forehead and drooping of the corner of the mouth on the right side indicates a lesion of which cranial nerve?","Left facial nerve (CN VII)","Right trigeminal nerve (CN V)","Left oculomotor nerve (CN III)","Right facial nerve (CN VII)","D","A peripheral lesion of the right facial nerve results in ipsilateral paralysis of all facial expression muscles, including the frontalis (inability to wrinkle the forehead) and orbicularis oris (drooping of the mouth). A central lesion (stroke) typically spares the forehead due to bilateral cortical representation. The trigeminal nerve mediates facial sensation, and the oculomotor nerve controls eye movement."
"anatomy","126","Which anatomical landmark is commonly used to locate the parotid duct (Stensen's duct) intraorally during a clinical examination?","In the retromolar pad region","Adjacent to the maxillary second molar","Adjacent to the mandibular second molar","At the level of the mandibular canine","B","The parotid duct pierces the buccinator muscle and opens into the oral cavity via the parotid papilla, which is typically located directly opposite the maxillary second molar. The mandibular second molar, canine, and retromolar pad areas are incorrect anatomical reference points for this duct."
"anatomy","131","During a routine inferior alveolar nerve block, the needle is advanced too far posteriorly and medially. Which of the following structures is most likely to be anesthesized inadvertently?","Lingual nerve","Parotid gland","Auriculotemporal nerve","Facial nerve","D","If the needle is inserted too far posteriorly during an inferior alveolar nerve block, it enters the parotid gland where the facial nerve (CN VII) resides, leading to transient facial paralysis. The lingual nerve is located anterior and medial to the inferior alveolar nerve, not posterior. The auriculotemporal nerve and parotid gland proper are not typically blocked by this specific deviation, making the facial nerve the classic structure involved in this complication."
"anatomy","132","A patient presents with a loss of general sensation from the anterior two-thirds of the tongue. Which nerve is most likely damaged?","Glossopharyngeal nerve","Lingual nerve","Hypoglossal nerve","Chorda tympani","B","General sensation from the anterior two-thirds of the tongue is supplied by the lingual nerve, a branch of V3. The chorda tympani carries taste fibers to this region, not general sensation. The glossopharyngeal nerve supplies both taste and general sensation to the posterior one-third of the tongue, while the hypoglossal nerve provides motor innervation to the tongue muscles."
"anatomy","136","During a surgical extraction of a mandibular third molar, the lingual nerve is exposed. In relation to the third molar socket, where is this nerve typically located?","Directly posterior","Directly anterior","Lateral and superior","Medial and inferior","D","The lingual nerve typically runs immediately medial and slightly inferior to the lingual plate of the mandible in the region of the third molar, placing it at risk during molar surgery or flap reflection. It is not lateral, nor is it directly posterior or anterior to the socket proper."
"anatomy","138","A patient presents with limited mouth opening (trismus) and deviation of the mandible to the left side upon maximal opening. Which of the following muscles of mastication is most likely hypertonic or spasming on the left side?","Right lateral pterygoid","Left masseter","Right medial pterygoid","Left lateral pterygoid","D","The lateral pterygoids are responsible for protruding and depressing the mandible, with unilateral action causing the jaw to deviate to the opposite side. Therefore, a spasm of the left lateral pterygoid would push the left condyle forward while the right condyle remains restricted, resulting in deviation to the right, but if the mandible deviates to the left, it indicates hypofunction of the left or hyperfunction of the contralateral side. Wait, let's re-evaluate: unilateral contraction of the lateral pterygoid pulls the condyle forward, medialized down the articular eminence, shifting the chin to the opposite side; thus, deviation to the left indicates hypomobility on the left or hypermobility on the right, meaning the left lateral pterygoid or associated elevator muscles on the left could be implicated in restriction. Specifically, the lateral pterygoid protrudes the mandible; unilateral contraction deviates the jaw to the opposite side. Thus, left deviation implies restriction on the left side."
"anatomy","141","During a surgical extraction of a mandibular third molar, the lingual plate is fractured and displaced lingually. Which anatomical space is immediately deep to this plate and vulnerable to infection or displaced root fragments?","Infratemporal fossa","Submandibular space","Sublingual space","Pterygomandibular space","C","The attachment of the mylohyoid muscle along the mandible's internal oblique ridge divides the sublingual space (superior to the line) from the submandibular space (inferior to the line). Because the posterior roots of the mandibular third molar often lie inferior to the mylohyoid line, and the lingual bone here is exceptionally thin, a lingual perforation directly accesses the sublingual space. The infratemporal fossa lies posterior and lateral to the maxilla and mandible ramus, not deep to the posterior lingual plate."
"anatomy","142","Which anatomical landmark is situated at the junction of the hard palate and the soft palate, commonly used clinically to determine the posterior extension of a maxillary complete denture?","Maxillary tuberosity","Fovea palatinae","Retromolar pad","Incisive papilla","B","The fovea palatinae are two small indentations of mucous gland ducts located on either side of the midline near the junction of the hard and soft palates, serving as a reliable anatomical landmark for the posterior palatal seal. The incisive papilla is located anteriorly behind the central incisors and guides the midline. The retromolar pad is a mandibular landmark for complete dentures, and the maxillary tuberosity is a bony prominence capping the posterior maxilla."
"anatomy","148","A lesion of the hypoglossal nerve (CN XII) will result in which of the following clinical findings upon tongue protrusion?","Deviation of the tongue away from the side of the lesion","Inability to taste on the posterior one-third of the tongue","Loss of general sensation on the anterior two-thirds of the tongue","Deviation of the tongue to the side of the lesion","D","The genioglossus muscle protrudes the tongue and pushes it toward the contralateral side; thus, unilateral paralysis causes the tongue to deviate toward the ipsilateral (lesioned) side due to unopposed action of the healthy side. Taste on the posterior third is glossopharyngeal, and general sensation is lingual nerve."
"anatomy","152","Which of the following structures is most at risk of injury during surgical removal of a submandibular gland?","Marginal mandibular branch of the facial nerve","Glossopharyngeal nerve","Hypoglossal nerve","Lingual nerve","A","The marginal mandibular branch of the facial nerve courses inferior to the mandible and crosses the submandibular gland region, making it highly vulnerable during incisions made to access the gland. The lingual and hypoglossal nerves are deeper within the floor of the mouth, and the glossopharyngeal nerve is further posterior and superior."
"anatomy","157","During an extraction of a maxillary molar, a root tip is accidentally displaced into the maxillary sinus. Through which anatomical structure does the sinus drain into the nasal cavity?","Middle meatus","Superior meatus","Sphenoethmoidal recess","Inferior meatus","A","The maxillary sinus drains into the nasal cavity via the semilunar hiatus located within the middle nasal meatus. The inferior meatus receives the nasolacrimal duct, and the superior meatus receives the posterior ethmoidal air cells."
"anatomy","164","During a local anesthetic block of the maxillary nerve in the pterygopalatine fossa, the needle passes through which anatomical space just prior to entering the fossa?","Buccal space","Retropharyngeal space","Submandibular space","Infratemporal fossa","D","The high tuberosity approach or greater palatine canal approach to the pterygopalatine fossa requires the needle to traverse the infratemporal fossa. The infratemporal fossa lies directly lateral to the pterygopalatine fossa, separated by the pterygomaxillary fissure. The other spaces are located in completely different anatomical regions of the head and neck."
"anatomy","165","A patient presents with a severe infection originating from the maxillary canine. The infection has the potential to spread superiorly and involve which of the following facial spaces, potentially leading to cavernous sinus thrombosis?","Parapharyngeal space","Canine space","Submandibular space","Retropharyngeal space","B","The root of the maxillary canine extends superiorly above the origin of the levator anguli oris, directly communicating with the canine space. Infections here can spread via the angular vein to the ophthalmic veins and into the cavernous sinus. The submandibular space typically receives infections from mandibular posterior teeth, while the parapharyngeal and retropharyngeal spaces are involved in deep neck infections."
"anatomy","168","During a surgical extraction of an impacted mandibular third molar, damage to the lingual plate of the mandible most directly threatens which nerve?","Mylohyoid nerve","Inferior alveolar nerve","Mental nerve","Lingual nerve","D","The lingual nerve runs submucosally directly adjacent to the lingual plate of the mandible in the region of the third molar, making it extremely vulnerable to surgical trauma or displacement of the lingual cortical plate. The inferior alveolar nerve runs within the mandibular canal, the mental nerve exits anteriorly through the mental foramen, and the mylohyoid nerve runs in a groove on the outer surface of the mandible."
"anatomy","170","A patient experiences anesthesia of the lower lip and chin following a difficult extraction of a mandibular third molar. Which nerve was most likely traumatized?","Mylohyoid nerve","Lingual nerve","Buccal nerve","Inferior alveolar nerve","D","The inferior alveolar nerve travels through the mandibular canal and gives rise to the mental nerve, which provides sensory innervation to the lower lip and chin. The lingual nerve supplies sensation to the anterior tongue, the mylohyoid nerve is motor to the mylohyoid and anterior belly of digastric, and the buccal nerve supplies the buccal mucosa."
"anatomy","171","During a surgical procedure involving the submandibular triangle, which structure is considered the most superficial and vulnerable just beneath the platysma muscle?","Facial artery","Hypoglossal nerve","Marginal mandibular branch of the facial nerve","Lingual artery","C","The marginal mandibular branch of the facial nerve runs inferior to the mandible and is highly susceptible to injury during submandibular approaches because it lies superficially beneath the platysma and deep fascia. The facial and lingual arteries are deeper vascular structures, and the hypoglossal nerve lies within the submandibular triangle deep to the mylohyoid muscle."
"anatomy","172","Venous drainage of the periodontium and teeth ultimately communicates with which intracranial structure, posing a risk of retrograde infection known as the 'danger zone' of the face?","Cavernous sinus","Sigmoid sinus","Superior sagittal sinus","Transverse sinus","A","Veins of the face and dental structures lack valves and communicate directly with the cavernous sinus via the ophthalmic veins and pterygoid plexus, creating a pathway for infection known as the danger zone of the face. The superior sagittal, transverse, and sigmoid sinuses drain different regions of the intracranial dura and brain tissue."
"anatomy","173","A fracture of the pterygoid plates of the sphenoid bone is most commonly associated with which type of midface fracture?","Le Fort I","Le Fort III","Le Fort II","Zygomaticomaxillary complex fracture","A","Le Fort I, II, and III fractures all involve fracture lines that traverse the pterygoid plates of the sphenoid bone. However, the Le Fort I fracture specifically separates the hard palate and alveolar process from the midface, running horizontally across the lower maxilla and lower pterygoid plates, whereas Le Fort II and III involve higher nasal, orbital, and zygomatic components."
"anatomy","175","During a regional block of the maxillary nerve (V2) in the pterygopalatine fossa, local anesthetic successfully anesthetizes all of the following structures EXCEPT:","Skin of the forehead","Palatal mucosa","Maxillary teeth","Mucosa of the maxillary sinus","A","The skin of the forehead is innervated by the ophthalmic division (V1) of the trigeminal nerve, specifically through the supraorbital and supratrochlear branches, and therefore would not be affected by a maxillary nerve block. V2 anesthesia successfully blocks the maxillary teeth (via superior alveolar nerves), palatal mucosa (via greater and nasopalatine nerves), and the maxillary sinus mucosa."
"anatomy","176","A patient presents with inability to close their jaw against resistance due to weakness of the primary elevators. Which muscle is NOT a primary elevator of the mandible?","Medial pterygoid","Lateral pterygoid","Temporalis","Masseter","B","The lateral pterygoid muscle pulls the condyle and articular disc forward and downward, functioning primarily in opening, protrusion, and lateral excursion of the mandible, not elevation. The masseter, temporalis, and medial pterygoid are all muscles of mastication that act synergistically to elevate the mandible."
"anatomy","178","A patient experiences loss of taste on the posterior one-third of the tongue. Which cranial nerve is most likely damaged?","Facial nerve (CN VII)","Vagus nerve (CN X)","Hypoglossal nerve (CN XII)","Glossopharyngeal nerve (CN IX)","D","The glossopharyngeal nerve (CN IX) provides both general sensation and special visceral afferent (taste) fibers to the posterior one-third of the tongue. The facial nerve supplies taste to the anterior two-thirds via the chorda tympani, the vagus supplies taste to the epiglottic region, and the hypoglossal is strictly motor."
"anatomy","180","Which of the following structures is most at risk of injury during a surgical procedure involving the elevation of a full-thickness mucoperiosteal flap on the palatal aspect of the maxilla adjacent to the canine and premolars?","Posterior superior alveolar artery","Greater palatine nerve and artery","Infraorbital nerve","Nasopalatine nerve and artery","B","The greater palatine nerve and artery emerge from the greater palatine foramen and course anteriorly along the hard palate, making them vulnerable during flap elevation in the premolar/molar region. The nasopalatine neurovascular bundle exits the incisive foramen anteriorly near the central incisors, while the posterior superior alveolar and infraorbital structures are located in the maxilla posteriorly and superiorly, respectively."
"anatomy","181","During a bilateral sagittal split osteotomy (BSSO), which major neurovascular structure located on the medial aspect of the mandibular ramus is at highest risk of inadvertent transection or stretching?","Facial artery","Mylohyoid nerve","Lingual nerve","Inferior alveolar nerve","D","The inferior alveolar nerve enters the mandibular foramen on the medial aspect of the ramus, which is the exact site of the osteotomy cuts and splitting maneuver in a BSSO. While the lingual nerve is nearby and also at risk, the inferior alveolar nerve travels directly within the canal being manipulated. The facial artery and mylohyoid nerve are situated differently and are less centrally involved in the immediate split site."
"anatomy","182","A patient presents with a severe infection originating from the mandibular second molar that has spread to the submandibular space. Which anatomical boundary primarily separates the submandibular space from the sublingual space?","Mylohyoid muscle","Hyoglossus muscle","Anterior belly of the digastric muscle","Geniohyoid muscle","A","The mylohyoid muscle forms the floor of the oral cavity and acts as the anatomical divider between the sublingual space superiorly and the submandibular space inferiorly. The hyoglossus and geniohyoid muscles lie in different planes deeper within the floor of the mouth, and the digastric muscle forms the inferior boundary of the submandibular triangle rather than separating sublingual from submandibular spaces."
"anatomy","183","When administering an inferior alveolar nerve block (IANB), the needle must pass medial to the pterygomandibular raphe. What two major structures form this tendinous raphe?","Masseter muscle and medial pterygoid muscle","Buccinator muscle and superior pharyngeal constrictor muscle","Temporalis tendon and buccinator muscle","Mylohyoid muscle and superior pharyngeal constrictor muscle","B","The pterygomandibular raphe is a tendinous band of the buccinator and superior pharyngeal constrictor muscles, serving as a vital anatomical landmark for local anesthesia injections. The masseter and medial pterygoid form the sling of the mandible, whereas the temporalis inserts onto the coronoid process, unrelated to the formation of this specific raphe."
"anatomy","184","An infection of the maxillary canine tooth can potentially spread via the facial veins directly into the cavernous sinus, bypassing valves. Which anatomical structure is primarily traversed during this septic thrombophlebitis pathway?","Retromandibular vein","Transverse facial vein","Pterygoid venous plexus","External jugular vein","C","Veins of the face, including the angular and facial veins, communicate with the cavernous sinus via the ophthalmic veins and the pterygoid venous plexus, providing a valveless route for the spread of facial infections to intracranial structures. The retromandibular, external jugular, and transverse facial veins drain inferiorly and posteriorly away from the cavernous sinus pathway."
"anatomy","186","During a surgical extraction of an impacted mandibular third molar, lingual nerve paresthesia occurs. Where is the lingual nerve typically located in relation to the lingual plate of the mandible in the third molar region?","Superior and lateral to the bone","Contained within the inferior alveolar canal","Immediately adjacent to or in direct contact with the medial periosteum","Protected deeply within the mylohyoid muscle","C","In a significant percentage of cases, the lingual nerve runs immediately adjacent to the lingual cortical plate of the mandible in the third molar region, often directly beneath the periosteum, making it highly vulnerable to surgical trauma. It is not located laterally, nor is it inside the inferior alveolar canal where the inferior alveolar nerve resides."
"anatomy","187","During a regional nerve block of the inferior alveolar nerve, the needle may pass too far posteriorly and enter which of the following structures, potentially resulting in temporary facial paralysis?","Parotid gland","Carotid sheath","Submandibular gland","Pterygoid plexus of veins","A","If the needle is inserted too far posteriorly during an inferior alveolar nerve block, it can penetrate the deep lobe of the parotid gland, which houses the branches of the facial nerve (cranial nerve VII), causing transient Bell's palsy-like symptoms. The submandibular gland is located too inferiorly to be affected by this specific directional error. The pterygoid plexus is located in the infratemporal fossa but puncturing it leads to a hematoma rather than facial paralysis."
